date,open,high,low,close,volume
2015-02-09 00:00:00,224.22,225.0,215.4,220.61,6493501.42
2015-02-10 00:00:00,220.61,223.88,214.0,220.96,6402350.57
2015-02-11 00:00:00,220.96,224.4,218.1,219.19,4268986.79
2015-02-12 00:00:00,219.19,223.2,217.87,222.6,2468883.37
2015-02-13 00:00:00,222.39,241.76,221.46,236.0,6806972.89
2015-02-14 00:00:00,236.13,261.3,235.51,258.12,10739014.48
2015-02-15 00:00:00,257.0,266.84,228.2,234.14,17384420.7
2015-02-16 00:00:00,234.14,243.65,228.62,236.78,10798751.12
2015-02-17 00:00:00,236.78,246.28,231.5,242.87,10228035.45
2015-02-18 00:00:00,242.87,244.99,231.01,234.8,9164141.83
2015-02-19 00:00:00,234.8,243.42,234.62,241.9,5446200.04
2015-02-20 00:00:00,241.9,248.98,238.95,245.53,8136342.67
2015-02-21 00:00:00,245.53,247.73,243.28,245.1,4052466.26
2015-02-22 00:00:00,245.1,247.78,232.1,236.59,7971863.56
2015-02-23 00:00:00,236.59,241.0,232.61,239.73,5666261.84
2015-02-24 00:00:00,239.73,240.99,236.7,239.68,4013461.44
2015-02-25 00:00:00,239.68,240.83,235.53,238.0,3230232.16
2015-02-26 00:00:00,238.0,238.34,233.62,237.0,4418655.89
2015-02-27 00:00:00,237.0,262.8,236.64,256.4,17536633.13
2015-02-28 00:00:00,255.05,257.33,251.25,255.77,2721373.29
2015-03-01 00:00:00,255.7,265.0,245.65,261.15,6156716.71
2015-03-02 00:00:00,262.47,276.0,259.6,275.99,9448438.14
2015-03-03 00:00:00,277.3,294.0,267.04,283.2,21157890.72
2015-03-04 00:00:00,283.2,285.99,267.0,273.74,19833718.19
2015-03-05 00:00:00,273.74,284.99,262.0,278.51,18281541.95
2015-03-06 00:00:00,278.51,279.75,268.8,273.89,11083898.02
2015-03-07 00:00:00,273.89,280.76,270.55,275.95,6096102.1
2015-03-08 00:00:00,275.95,278.68,271.61,275.23,4059996.89
2015-03-09 00:00:00,275.23,295.0,275.01,291.2,17935918.08
2015-03-10 00:00:00,291.2,303.96,289.03,292.62,19689801.8
2015-03-11 00:00:00,292.62,298.75,290.8,296.33,7898592.99
2015-03-12 00:00:00,296.33,298.8,291.04,295.65,8044592.43
2015-03-13 00:00:00,295.65,295.91,285.0,287.9,12368444.8
2015-03-14 00:00:00,287.9,287.91,281.36,283.0,7697730.93
2015-03-15 00:00:00,283.0,287.8,281.59,286.12,3846739.5
2015-03-16 00:00:00,286.12,295.2,286.12,291.1,6538607.02
2015-03-17 00:00:00,291.1,292.9,281.56,285.0,6363650.41
2015-03-18 00:00:00,285.0,285.5,248.0,257.49,23520537.51
2015-03-19 00:00:00,257.49,269.5,246.98,262.05,20177686.14
2015-03-20 00:00:00,262.05,267.0,259.36,262.66,4328441.8
2015-03-21 00:00:00,262.66,263.01,255.1,260.37,3932500.29
2015-03-22 00:00:00,260.37,270.8,259.74,269.33,4748216.13
2015-03-23 00:00:00,269.33,271.5,262.0,266.78,6374502.51
2015-03-24 00:00:00,266.78,268.4,241.39,247.3,15720801.73
2015-03-25 00:00:00,247.3,250.95,235.7,246.15,13349382.19
2015-03-26 00:00:00,246.15,255.0,244.5,249.8,8289565.28
2015-03-27 00:00:00,249.8,250.45,245.23,247.5,5494965.57
2015-03-28 00:00:00,247.5,255.96,246.12,253.05,4593944.06
2015-03-29 00:00:00,253.05,253.05,238.89,242.23,7781423.43
2015-03-30 00:00:00,242.23,250.98,236.24,247.9,7491359.46
2015-03-31 00:00:00,247.9,248.8,242.0,244.42,5538544.5
2015-04-01 00:00:00,244.42,247.89,239.21,246.43,5216062.22
2015-04-02 00:00:00,246.43,254.94,243.0,253.11,5935950.99
2015-04-03 00:00:00,253.11,256.49,250.31,254.12,7206777.03
2015-04-04 00:00:00,254.12,255.7,250.32,253.9,2351734.92
2015-04-05 00:00:00,253.9,261.25,251.55,260.53,6198045.49
2015-04-06 00:00:00,260.53,262.45,253.4,255.81,5296679.24
2015-04-07 00:00:00,255.81,257.9,253.01,254.92,2724103.24
2015-04-08 00:00:00,254.92,254.99,242.72,244.96,9807179.38
2015-04-09 00:00:00,244.96,246.79,236.5,242.65,5493893.77
2015-04-10 00:00:00,242.65,243.87,230.75,234.99,8779200.94
2015-04-11 00:00:00,234.99,240.58,233.72,237.38,4212454.68
2015-04-12 00:00:00,237.38,238.7,232.38,236.67,2404156.47
2015-04-13 00:00:00,236.67,237.7,220.14,225.49,10605496.24
2015-04-14 00:00:00,225.49,225.93,216.37,218.71,9072017.43
2015-04-15 00:00:00,218.71,224.75,218.71,222.92,5195993.12
2015-04-16 00:00:00,222.92,230.0,222.84,228.3,6717348.59
2015-04-17 00:00:00,228.3,228.98,219.58,222.42,6051099.42
2015-04-18 00:00:00,222.42,224.16,219.94,222.97,2623795.09
2015-04-19 00:00:00,222.97,227.0,222.1,223.22,3965289.9
2015-04-20 00:00:00,223.22,227.0,221.24,224.21,4484304.64
2015-04-21 00:00:00,224.21,236.5,224.1,234.37,6892018.26
2015-04-22 00:00:00,234.37,238.99,232.0,234.53,5617505.96
2015-04-23 00:00:00,234.53,235.76,233.0,235.25,1835916.77
2015-04-24 00:00:00,235.25,237.22,228.7,231.73,5505129.65
2015-04-25 00:00:00,231.73,232.7,225.35,226.02,3011012.08
2015-04-26 00:00:00,226.02,226.84,213.92,219.39,9033043.42
2015-04-27 00:00:00,219.39,232.49,218.24,227.41,7805497.05
2015-04-28 00:00:00,227.41,228.28,222.16,225.25,3954137.75
2015-04-29 00:00:00,225.25,227.8,222.66,225.34,2687371.88
2015-04-30 00:00:00,225.34,240.89,224.63,235.64,9697487.46
2015-05-01 00:00:00,235.64,239.25,231.26,232.8,3780970.84
2015-05-02 00:00:00,232.8,235.79,231.31,235.07,2192424.93
2015-05-03 00:00:00,235.07,243.73,233.75,240.34,4587767.58
2015-05-04 00:00:00,240.34,243.6,236.98,239.01,5942074.73
2015-05-05 00:00:00,239.01,239.49,231.05,235.46,6097569.04
2015-05-06 00:00:00,235.46,236.75,226.42,229.74,10954983.7
2015-05-07 00:00:00,229.74,239.79,227.81,237.52,6301218.65
2015-05-08 00:00:00,237.52,249.22,235.66,244.75,7727308.38
2015-05-09 00:00:00,244.75,249.21,240.1,242.55,4725248.25
2015-05-10 00:00:00,242.55,245.95,238.79,240.58,2869134.78
2015-05-11 00:00:00,240.58,245.49,238.5,242.85,3800696.06
2015-05-12 00:00:00,242.85,244.67,240.86,242.46,3177594.62
2015-05-13 00:00:00,242.46,245.0,234.22,236.4,6776979.42
2015-05-14 00:00:00,236.4,238.39,232.1,236.63,4643708.28
2015-05-15 00:00:00,236.63,239.0,233.88,237.11,2271369.9
2015-05-16 00:00:00,237.11,237.58,234.0,235.71,1422779.3
2015-05-17 00:00:00,235.71,238.24,235.6,236.49,1150863.49
2015-05-18 00:00:00,236.49,237.25,229.0,232.0,3286691.0
2015-05-19 00:00:00,232.0,236.76,231.19,231.76,1417681.02
